,kalimat,kalimat_token
274,lumayan membantu membeli tiket kereta api tanpa admin huhudy dy lancar juga tidak ada kendala saat melakukan pemesanan perbarui anggotanya kok susah admin obadahal sudah sesuai bagus yang sebelumnya padah akan sebelumnya sudah banyak banget pesan tiketnya,"['lumayan', 'membantu', 'membeli', 'tiket', 'kereta', 'api', 'tanpa', 'admin', 'huhudy', 'dy', 'lancar', 'juga', 'tidak', 'ada', 'kendala', 'saat', 'melakukan', 'pemesanan', 'perbarui', 'anggotanya', 'kok', 'susah', 'admin', 'obadahal', 'sudah', 'sesuai', 'bagus', 'yang', 'sebelumnya', 'padah', 'akan', 'sebelumnya', 'sudah', 'banyak', 'banget', 'pesan', 'tiketnya']"
10,di update bukannya makin bagus malah makin burik,"['di', 'update', 'bukannya', 'makin', 'bagus', 'malah', 'makin', 'burik']"
404,mohon maaf setelah memperbarui akses menjadi lebih lambat tidak seperti pada aplikasi sebelumnya saat memilih kursi timeout menunggu lama sekali menghabiskan banyak waktu,"['mohon', 'maaf', 'setelah', 'memperbarui', 'akses', 'menjadi', 'lebih', 'lambat', 'tidak', 'seperti', 'pada', 'aplikasi', 'sebelumnya', 'saat', 'memilih', 'kursi', 'timeout', 'menunggu', 'lama', 'sekali', 'menghabiskan', 'banyak', 'waktu']"
109,fiturnya lebih ribet membingungkan lebih simpel aplikasi sebelumnya dy tm,"['fiturnya', 'lebih', 'ribet', 'membingungkan', 'lebih', 'simpel', 'aplikasi', 'sebelumnya', 'dy', 'tm']"
131,fiturnya banyak sepaket lambat juga minta ampun,"['fiturnya', 'banyak', 'sepaket', 'lambat', 'juga', 'minta', 'ampun']"
196,sudah banyak plusnya daripada yang lama metode pembayaran juga banyak beli tiket ka jadi sangat mudah banget lacar juga,"['sudah', 'banyak', 'plusnya', 'daripada', 'yang', 'lama', 'metode', 'pembayaran', 'juga', 'banyak', 'beli', 'tiket', 'ka', 'jadi', 'sangat', 'mudah', 'banget', 'lacar', 'juga']"
542,kalau dibandingkan kai yang dahulu sama sekarang beda banget dari segi performanya makin lancar dari pesan tiket bayarnya tampilannya menarik juga ditambah fitur fitur terbaru yang bermanfaat banget menurut saya,"['kalau', 'dibandingkan', 'kai', 'yang', 'dahulu', 'sama', 'sekarang', 'beda', 'banget', 'dari', 'segi', 'performanya', 'makin', 'lancar', 'dari', 'pesan', 'tiket', 'bayarnya', 'tampilannya', 'menarik', 'juga', 'ditambah', 'fitur', 'fitur', 'terbaru', 'yang', 'bermanfaat', 'banget', 'menurut', 'saya']"
30,tampilan baru malah makin buruk,"['tampilan', 'baru', 'malah', 'makin', 'buruk']"
571,sejak diperbarui makin garibet pesan tiket jadi saat set enggak lambat lebih mudah beli tiket di aplikasi sekarang ha lebih baik daripada sebelumnya terima kasih,"['sejak', 'diperbarui', 'makin', 'garibet', 'pesan', 'tiket', 'jadi', 'saat', 'set', 'enggak', 'lambat', 'lebih', 'mudah', 'beli', 'tiket', 'di', 'aplikasi', 'sekarang', 'ha', 'lebih', 'baik', 'daripada', 'sebelumnya', 'terima', 'kasih']"
82,aplikasinya mempermudah dan bagus,"['aplikasinya', 'mempermudah', 'dan', 'bagus']"
612,versi baru memang lebih menarik dengan tanpilan dan fitur baru saya pesan tiket enggak usah dapat enggak ada lagi tuh macet lambat semua lancar lancar saja kalau saya suka dengan pembayaran qrisnya lebih simel,"['versi', 'baru', 'memang', 'lebih', 'menarik', 'dengan', 'tanpilan', 'dan', 'fitur', 'baru', 'saya', 'pesan', 'tiket', 'enggak', 'usah', 'dapat', 'enggak', 'ada', 'lagi', 'tuh', 'macet', 'lambat', 'semua', 'lancar', 'lancar', 'saja', 'kalau', 'saya', 'suka', 'dengan', 'pembayaran', 'qrisnya', 'lebih', 'simel']"
528,semenjak pembaruan sudah tidak eror lagi pulas ulang responsif lancar suka juga sama fitur fitur tambahannya jadi aplikasi yang lebih multifungsi,"['semenjak', 'pembaruan', 'sudah', 'tidak', 'eror', 'lagi', 'pulas', 'ulang', 'responsif', 'lancar', 'suka', 'juga', 'sama', 'fitur', 'fitur', 'tambahannya', 'jadi', 'aplikasi', 'yang', 'lebih', 'multifungsi']"
580,pembayaran enggak ribet pakai kaipay makin mempermudah pengguna kai buat pesan tiket sih ini fiturbarunya satset parah lagi,"['pembayaran', 'enggak', 'ribet', 'pakai', 'kaipay', 'makin', 'mempermudah', 'pengguna', 'kai', 'buat', 'pesan', 'tiket', 'sih', 'ini', 'fiturbarunya', 'satset', 'parah', 'lagi']"
469,semenjak perbarui aplikasi sudah enggak lambat tetapi tampilan membingungkan kereta yang penuh masih muncul untungnya pesan tiket sama bayarnya aman dan gampang banget,"['semenjak', 'perbarui', 'aplikasi', 'sudah', 'enggak', 'lambat', 'tetapi', 'tampilan', 'membingungkan', 'kereta', 'yang', 'penuh', 'masih', 'muncul', 'untungnya', 'pesan', 'tiket', 'sama', 'bayarnya', 'aman', 'dan', 'gampang', 'banget']"
199,setelah berubah aplikasinya untuk cek tiket saja membutuhkan proses memuat lama,"['setelah', 'berubah', 'aplikasinya', 'untuk', 'cek', 'tiket', 'saja', 'membutuhkan', 'proses', 'memuat', 'lama']"
56,kok tampilannya lebih enak yang dahulu ya diperbarui malah jadi ruwet,"['kok', 'tampilannya', 'lebih', 'enak', 'yang', 'dahulu', 'ya', 'diperbarui', 'malah', 'jadi', 'ruwet']"
