,kalimat,kalimat_norm,kalimat_cf,kalimat_token,kalimat_stopwords,kalimat_stemmed
589,Loading buka aplikasi terlalu lama untuk jadwal KRL lebih enak tampilan yang dulu karena bisa lihat jadwal jam seluruh stasiun Mohon untuk dibenahi lagi kalau bisa ditampilkan jam nya full seluruh stasiun tanpa harus lihat satu satu manual,Memuat buka aplikasi terlalu lama untuk jadwal KRL lebih enak tampilan yang dahulu karena bisa lihat jadwal jam seluruh stasiun mohon untuk dibenahi lagi kalau bisa ditampilkan jamnya penuh seluruh stasiun tanpa harus lihat satu satu manual,memuat buka aplikasi terlalu lama untuk jadwal krl lebih enak tampilan yang dahulu karena bisa lihat jadwal jam seluruh stasiun mohon untuk dibenahi lagi kalau bisa ditampilkan jamnya penuh seluruh stasiun tanpa harus lihat satu satu manual,"['memuat', 'buka', 'aplikasi', 'terlalu', 'lama', 'untuk', 'jadwal', 'krl', 'lebih', 'enak', 'tampilan', 'yang', 'dahulu', 'karena', 'bisa', 'lihat', 'jadwal', 'jam', 'seluruh', 'stasiun', 'mohon', 'untuk', 'dibenahi', 'lagi', 'kalau', 'bisa', 'ditampilkan', 'jamnya', 'penuh', 'seluruh', 'stasiun', 'tanpa', 'harus', 'lihat', 'satu', 'satu', 'manual']","['memuat', 'buka', 'aplikasi', 'jadwal', 'krl', 'enak', 'tampilan', 'lihat', 'jadwal', 'jam', 'stasiun', 'mohon', 'dibenahi', 'ditampilkan', 'jamnya', 'penuh', 'stasiun', 'lihat', 'manual']","['muat', 'buka', 'aplikasi', 'jadwal', 'krl', 'enak', 'tampil', 'lihat', 'jadwal', 'jam', 'stasiun', 'mohon', 'benah', 'tampil', 'jam', 'penuh', 'stasiun', 'lihat', 'manual']"
478,Udah ma lemot byk kendala nya wktu mau pembayaran yg malah jadi buang waktu ga efektif samsek,Sudah sama lambat banyak kendalanya waktu mau pembayaran yang malah jadi buang waktu enggak efektif sama sekali,sudah sama lambat banyak kendalanya waktu mau pembayaran yang malah jadi buang waktu enggak efektif sama sekali,"['sudah', 'sama', 'lambat', 'banyak', 'kendalanya', 'waktu', 'mau', 'pembayaran', 'yang', 'malah', 'jadi', 'buang', 'waktu', 'enggak', 'efektif', 'sama', 'sekali']","['lambat', 'kendalanya', 'pembayaran', 'buang', 'efektif']","['lambat', 'kendala', 'bayar', 'buang', 'efektif']"
512,Update besaran aplikasi KAI semakin bagus respon cepat dan UI keren Cuma ada kekurangan yaitu metode pembayaran wallet cuma ada opsi OVO mungkin kedepan bisa ditambahkan wallet lain seperti gopay shopeepay dana atau virtual account,Pembaruan besaran aplikasi KAI makin bagus respons cepat dan UI keren Cuma ada kekurangan yaitu metode pembayaran wallet cuma ada opsi OVO mungkin ke depan bisa ditambahkan wallet lain seperti Gopay Shopeepay dana atau Virtual Account,pembaruan besaran aplikasi kai makin bagus respons cepat dan ui keren cuma ada kekurangan yaitu metode pembayaran wallet cuma ada opsi ovo mungkin ke depan bisa ditambahkan wallet lain seperti gopay shopeepay dana atau virtual account,"['pembaruan', 'besaran', 'aplikasi', 'kai', 'makin', 'bagus', 'respons', 'cepat', 'dan', 'ui', 'keren', 'cuma', 'ada', 'kekurangan', 'yaitu', 'metode', 'pembayaran', 'wallet', 'cuma', 'ada', 'opsi', 'ovo', 'mungkin', 'ke', 'depan', 'bisa', 'ditambahkan', 'wallet', 'lain', 'seperti', 'gopay', 'shopeepay', 'dana', 'atau', 'virtual', 'account']","['pembaruan', 'besaran', 'aplikasi', 'kai', 'bagus', 'respons', 'cepat', 'ui', 'keren', 'kekurangan', 'metode', 'pembayaran', 'wallet', 'opsi', 'ovo', 'wallet', 'gopay', 'shopeepay', 'dana', 'virtual', 'account']","['baru', 'besar', 'aplikasi', 'kai', 'bagus', 'respons', 'cepat', 'ui', 'keren', 'kurang', 'metode', 'bayar', 'wallet', 'opsi', 'ovo', 'wallet', 'gopay', 'shopeepay', 'dana', 'virtual', 'account']"
194,Dulu sebelum di update jaringannya lancar sekarang Setelah update kok lebit lemot ya Kemarin saya mau pesan tiket sampai memakan waktu menit di ind buat menunggu kode keluar Sampai saya kali percobaan baru bisa Mohon kepada Developer KAI untuk memperbaiki jaringannya Terimakasih,Dahulu sebelum diperbarui jaringannya lancar sekarang setelah memperbarui kok lebit lambat ya kemarin saya mau pesan tiket sampai memakan waktu menit di indonesia buat menunggu kode keluar sampai saya kali percobaan baru bisa mohon kepada pengembang KAI untuk memperbaiki jaringannya terima kasih,dahulu sebelum diperbarui jaringannya lancar sekarang setelah memperbarui kok lebit lambat ya kemarin saya mau pesan tiket sampai memakan waktu menit di indonesia buat menunggu kode keluar sampai saya kali percobaan baru bisa mohon kepada pengembang kai untuk memperbaiki jaringannya terima kasih,"['dahulu', 'sebelum', 'diperbarui', 'jaringannya', 'lancar', 'sekarang', 'setelah', 'memperbarui', 'kok', 'lebit', 'lambat', 'ya', 'kemarin', 'saya', 'mau', 'pesan', 'tiket', 'sampai', 'memakan', 'waktu', 'menit', 'di', 'indonesia', 'buat', 'menunggu', 'kode', 'keluar', 'sampai', 'saya', 'kali', 'percobaan', 'baru', 'bisa', 'mohon', 'kepada', 'pengembang', 'kai', 'untuk', 'memperbaiki', 'jaringannya', 'terima', 'kasih']","['diperbarui', 'jaringannya', 'lancar', 'memperbarui', 'lebit', 'lambat', 'ya', 'kemarin', 'pesan', 'tiket', 'memakan', 'menit', 'indonesia', 'menunggu', 'kode', 'kali', 'percobaan', 'mohon', 'pengembang', 'kai', 'memperbaiki', 'jaringannya', 'terima', 'kasih']","['baru', 'jaring', 'lancar', 'baru', 'lebit', 'lambat', 'ya', 'kemarin', 'pesan', 'tiket', 'makan', 'menit', 'indonesia', 'tunggu', 'kode', 'kali', 'coba', 'mohon', 'kembang', 'kai', 'baik', 'jaring', 'terima', 'kasih']"
591,Setelah di upgrade tampilan baru bukan nya makin baik malah makin buruk apk payah,Setelah ditingkatkan tampilan baru bukannya makin baik malah makin buruk aplikasi payah,setelah ditingkatkan tampilan baru bukannya makin baik malah makin buruk aplikasi payah,"['setelah', 'ditingkatkan', 'tampilan', 'baru', 'bukannya', 'makin', 'baik', 'malah', 'makin', 'buruk', 'aplikasi', 'payah']","['ditingkatkan', 'tampilan', 'buruk', 'aplikasi', 'payah']","['tingkat', 'tampil', 'buruk', 'aplikasi', 'payah']"
599,Tampilan baru Bukan lebih mempermudah tapi lebih mempersulit Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access,Tampilan baru Bukan lebih mempermudah tetapi lebih mempersulit kasihan kalau orang awam untuk melakukan pemesanan lewat aplikasi KAI Access,tampilan baru bukan lebih mempermudah tetapi lebih mempersulit kasihan kalau orang awam untuk melakukan pemesanan lewat aplikasi kai access,"['tampilan', 'baru', 'bukan', 'lebih', 'mempermudah', 'tetapi', 'lebih', 'mempersulit', 'kasihan', 'kalau', 'orang', 'awam', 'untuk', 'melakukan', 'pemesanan', 'lewat', 'aplikasi', 'kai', 'access']","['tampilan', 'mempermudah', 'mempersulit', 'kasihan', 'orang', 'awam', 'pemesanan', 'aplikasi', 'kai', 'access']","['tampil', 'mudah', 'sulit', 'kasihan', 'orang', 'awam', 'mesan', 'aplikasi', 'kai', 'access']"
424,Payah banget Down semua,Payah banget Down semua,payah banget down semua,"['payah', 'banget', 'down', 'semua']","['payah', 'banget', 'down']","['payah', 'banget', 'down']"
444,Setelah di update semakin lemot parah ga bisa masuk sama sekali,Setelah diperbarui makin lambat parah enggak bisa masuk sama sekali,setelah diperbarui makin lambat parah enggak bisa masuk sama sekali,"['setelah', 'diperbarui', 'makin', 'lambat', 'parah', 'enggak', 'bisa', 'masuk', 'sama', 'sekali']","['diperbarui', 'lambat', 'parah', 'masuk']","['baru', 'lambat', 'parah', 'masuk']"
447,Nge down terus aplikasi nya Tolong perbaiki Sy pengguna setia KA tp knpa setelah update aplikasi malah erorr trs,Menurun terus aplikasinya tolong perbaiki saya pengguna setia KA tetapi kenapa setelah pembaruan aplikasi malah eror terus,menurun terus aplikasinya tolong perbaiki saya pengguna setia ka tetapi kenapa setelah pembaruan aplikasi malah eror terus,"['menurun', 'terus', 'aplikasinya', 'tolong', 'perbaiki', 'saya', 'pengguna', 'setia', 'ka', 'tetapi', 'kenapa', 'setelah', 'pembaruan', 'aplikasi', 'malah', 'eror', 'terus']","['menurun', 'aplikasinya', 'tolong', 'perbaiki', 'pengguna', 'setia', 'ka', 'pembaruan', 'aplikasi', 'eror']","['turun', 'aplikasi', 'tolong', 'baik', 'guna', 'setia', 'ka', 'baru', 'aplikasi', 'eror']"
672,Gimana sih lemot amat hampir ketinggalan kereta woy,Bagaimana sih lambat hampir ketinggalan kereta woi,bagaimana sih lambat hampir ketinggalan kereta woi,"['bagaimana', 'sih', 'lambat', 'hampir', 'ketinggalan', 'kereta', 'woi']","['sih', 'lambat', 'ketinggalan', 'kereta', 'woi']","['sih', 'lambat', 'tinggal', 'kereta', 'woi']"
