,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_classifier__kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.28110114733378094,0.0068377929592351,0.08847681681315105,0.003248319056326674,100,100,linear,"{'classifier__C': 100, 'classifier__gamma': 100, 'classifier__kernel': 'linear'}",0.3225806451612903,0.3225806451612903,0.2810810810810811,0.3087474571345539,0.01956308211826774,14
1,0.7005598545074463,0.019175307059819787,0.7173546950022379,0.011637766234714497,100,100,rbf,"{'classifier__C': 100, 'classifier__gamma': 100, 'classifier__kernel': 'rbf'}",0.016129032258064516,0.016129032258064516,0.02702702702702703,0.01976169718105202,0.005137364001645943,42
2,0.6668845812479655,0.005715698620358956,0.29547754923502606,0.004060755160910245,100,100,poly,"{'classifier__C': 100, 'classifier__gamma': 100, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
3,0.290607213973999,0.0389549521233432,0.10054739316304524,0.01610257155975079,100,10,linear,"{'classifier__C': 100, 'classifier__gamma': 10, 'classifier__kernel': 'linear'}",0.3225806451612903,0.3225806451612903,0.2810810810810811,0.3087474571345539,0.01956308211826774,14
4,0.7740906874338785,0.06809273454025279,0.766306479771932,0.14809246663960565,100,10,rbf,"{'classifier__C': 100, 'classifier__gamma': 10, 'classifier__kernel': 'rbf'}",0.016129032258064516,0.016129032258064516,0.02702702702702703,0.01976169718105202,0.005137364001645943,42
5,0.6548980871836344,0.006732516877469727,0.2937273184458415,0.008788121072889765,100,10,poly,"{'classifier__C': 100, 'classifier__gamma': 10, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
6,0.2640702724456787,0.0039180784029614986,0.08791446685791016,0.001933035969508642,100,1,linear,"{'classifier__C': 100, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.3225806451612903,0.3225806451612903,0.2810810810810811,0.3087474571345539,0.01956308211826774,14
7,0.500302235285441,0.015325427616616616,0.4352099100748698,0.018707446670477926,100,1,rbf,"{'classifier__C': 100, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.26344086021505375,0.3010752688172043,0.2864864864864865,0.28366753850624815,0.015492945243881666,19
8,0.7806276480356852,0.09400832264729803,0.36063575744628906,0.011852487708587338,100,1,poly,"{'classifier__C': 100, 'classifier__gamma': 1, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
9,0.25495417912801105,0.0032993360784338197,0.09042104085286458,0.002422233876869848,100,0.1,linear,"{'classifier__C': 100, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.3225806451612903,0.3225806451612903,0.2810810810810811,0.3087474571345539,0.01956308211826774,14
10,0.3239730993906657,0.006266441608273063,0.2495246728261312,0.01410306324411589,100,0.1,rbf,"{'classifier__C': 100, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.3010752688172043,0.3548387096774194,0.3081081081081081,0.32134069553424394,0.023860049186526646,8
11,0.5839230219523112,0.0016054286442657275,0.2753611405690511,0.005084181791912036,100,0.1,poly,"{'classifier__C': 100, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
12,0.2579805850982666,0.0007448969476073379,0.08482321103413899,0.0020538395883486016,100,0.01,linear,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.3225806451612903,0.3225806451612903,0.2810810810810811,0.3087474571345539,0.01956308211826774,14
13,0.29495541254679364,0.01026108888125165,0.25253987312316895,0.01121512694663294,100,0.01,rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.3010752688172043,0.3924731182795699,0.3621621621621622,0.3519035164196455,0.03801159104746123,1
14,0.1758427619934082,0.008075945293047617,0.06979036331176758,0.0016334645842964945,100,0.01,poly,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
15,0.2839334011077881,0.011714697012741665,0.09298904736836751,0.0027510340794527307,10,100,linear,"{'classifier__C': 10, 'classifier__gamma': 100, 'classifier__kernel': 'linear'}",0.27956989247311825,0.3763440860215054,0.2972972972972973,0.3177370919306403,0.04206859507776239,9
16,0.8450632890065511,0.1137611332900546,0.8318227926890055,0.1419788682972177,10,100,rbf,"{'classifier__C': 10, 'classifier__gamma': 100, 'classifier__kernel': 'rbf'}",0.016129032258064516,0.016129032258064516,0.02702702702702703,0.01976169718105202,0.005137364001645943,42
17,0.6489324569702148,0.006213701256381918,0.2941563129425049,0.0019077011021143445,10,100,poly,"{'classifier__C': 10, 'classifier__gamma': 100, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
18,0.277810017267863,0.012616362555111824,0.0921487808227539,0.00267520512146812,10,10,linear,"{'classifier__C': 10, 'classifier__gamma': 10, 'classifier__kernel': 'linear'}",0.27956989247311825,0.3763440860215054,0.2972972972972973,0.3177370919306403,0.04206859507776239,9
19,0.6989483833312988,0.0215169092950061,0.7721399466196696,0.07573856281366037,10,10,rbf,"{'classifier__C': 10, 'classifier__gamma': 10, 'classifier__kernel': 'rbf'}",0.016129032258064516,0.016129032258064516,0.02702702702702703,0.01976169718105202,0.005137364001645943,42
