,kalimat,kalimat_norm,kalimat_cf,kalimat_token,kalimat_stopwords,kalimat_stemmed
323,kenapa aplikasinya jadi ribet begini susah masuknya lagi tolong diperbaiki lagi,kenapa aplikasinya jadi ribet begini susah masuknya lagi tolong diperbaiki lagi,kenapa aplikasinya jadi ribet begini susah masuknya lagi tolong diperbaiki lagi,"['kenapa', 'aplikasinya', 'jadi', 'ribet', 'begini', 'susah', 'masuknya', 'lagi', 'tolong', 'diperbaiki', 'lagi']","['aplikasinya', 'ribet', 'susah', 'masuknya', 'tolong', 'diperbaiki']","['aplikasi', 'ribet', 'susah', 'masuk', 'tolong', 'baik']"
65,yg baru ini gak bisa milih tempat duduk kah lemot bgt juga lebih suka yg lama,yang baru ini enggak bisa memilih tempat dudukkah lambat banget juga lebih suka yang lama,yang baru ini enggak bisa memilih tempat dudukkah lambat banget juga lebih suka yang lama,"['yang', 'baru', 'ini', 'enggak', 'bisa', 'memilih', 'tempat', 'dudukkah', 'lambat', 'banget', 'juga', 'lebih', 'suka', 'yang', 'lama']","['memilih', 'dudukkah', 'lambat', 'banget', 'suka']","['pilih', 'duduk', 'lambat', 'banget', 'suka']"
390,ini kenapa gabisa di buka apk kai nya,ini kenapa enggak bisa dibuka aplikasi KAI-nya,ini kenapa enggak bisa dibuka aplikasi kai-nya,"['ini', 'kenapa', 'enggak', 'bisa', 'dibuka', 'aplikasi', 'kai-nya']","['dibuka', 'aplikasi', 'kai-nya']","['buka', 'aplikasi', 'kai-nya']"
49,makin update makin jelek,makin memperbarui makin jelek,makin memperbarui makin jelek,"['makin', 'memperbarui', 'makin', 'jelek']","['memperbarui', 'jelek']","['baru', 'jelek']"
118,kok tambah lemot mau top up malah eror,kok tambah lambat mau isi ulang malah eror,kok tambah lambat mau isi ulang malah eror,"['kok', 'tambah', 'lambat', 'mau', 'isi', 'ulang', 'malah', 'eror']","['lambat', 'isi', 'ulang', 'eror']","['lambat', 'isi', 'ulang', 'eror']"
192,saya kira hanya terjadi di saya namun banyak juga yang mengeluhkan kalau kai access yg sekarang agak lebih ribet dari versi sebelumnya mohon maaf admin jujur saya merasa kai access yg sekarang terlalu mirip dengan aplikasi travelling yg lain saya apresiasi penambahan fitur seperti ka lokal krl dan kcic namun penambahan fitur lain seperti hotel dan bus menurut saya membuat kai access kehilangan identitasnya sebagai kai access,saya kira hanya terjadi di saya namun banyak juga yang mengeluhkan kalau Kai Access yang sekarang agak lebih ribet dari versi sebelumnya mohon maaf admin jujur saya merasa Kai Access yang sekarang terlalu mirip dengan aplikasi perjalanan yang lain saya apresiasi penambahan fitur seperti dan lokal kerla dan KCIC namun penambahan fitur lain seperti hotel dan bus menurut saya membuat kai akses kehilangan identitasnya sebagai kai access,saya kira hanya terjadi di saya namun banyak juga yang mengeluhkan kalau kai access yang sekarang agak lebih ribet dari versi sebelumnya mohon maaf admin jujur saya merasa kai access yang sekarang terlalu mirip dengan aplikasi perjalanan yang lain saya apresiasi penambahan fitur seperti dan lokal kerla dan kcic namun penambahan fitur lain seperti hotel dan bus menurut saya membuat kai akses kehilangan identitasnya sebagai kai access,"['saya', 'kira', 'hanya', 'terjadi', 'di', 'saya', 'namun', 'banyak', 'juga', 'yang', 'mengeluhkan', 'kalau', 'kai', 'access', 'yang', 'sekarang', 'agak', 'lebih', 'ribet', 'dari', 'versi', 'sebelumnya', 'mohon', 'maaf', 'admin', 'jujur', 'saya', 'merasa', 'kai', 'access', 'yang', 'sekarang', 'terlalu', 'mirip', 'dengan', 'aplikasi', 'perjalanan', 'yang', 'lain', 'saya', 'apresiasi', 'penambahan', 'fitur', 'seperti', 'dan', 'lokal', 'kerla', 'dan', 'kcic', 'namun', 'penambahan', 'fitur', 'lain', 'seperti', 'hotel', 'dan', 'bus', 'menurut', 'saya', 'membuat', 'kai', 'akses', 'kehilangan', 'identitasnya', 'sebagai', 'kai', 'access']","['mengeluhkan', 'kai', 'access', 'ribet', 'versi', 'mohon', 'maaf', 'admin', 'jujur', 'kai', 'access', 'aplikasi', 'perjalanan', 'apresiasi', 'penambahan', 'fitur', 'lokal', 'kerla', 'kcic', 'penambahan', 'fitur', 'hotel', 'bus', 'kai', 'akses', 'kehilangan', 'identitasnya', 'kai', 'access']","['keluh', 'kai', 'access', 'ribet', 'versi', 'mohon', 'maaf', 'admin', 'jujur', 'kai', 'access', 'aplikasi', 'jalan', 'apresiasi', 'tambah', 'fitur', 'lokal', 'kerla', 'kcic', 'tambah', 'fitur', 'hotel', 'bus', 'kai', 'akses', 'hilang', 'identitas', 'kai', 'access']"
39,aplikasi diperbarui tapi malah mempersulit dulu bisa bayar pakai ewallet sekarang gagal terus mending dikembalikan kesebelumya malah lancar,aplikasi diperbarui tetapi malah mempersulit dahulu bisa bayar pakai wallet sekarang gagal terus mending dikembalikan kesebelumnya malah lancar,aplikasi diperbarui tetapi malah mempersulit dahulu bisa bayar pakai wallet sekarang gagal terus mending dikembalikan kesebelumnya malah lancar,"['aplikasi', 'diperbarui', 'tetapi', 'malah', 'mempersulit', 'dahulu', 'bisa', 'bayar', 'pakai', 'wallet', 'sekarang', 'gagal', 'terus', 'mending', 'dikembalikan', 'kesebelumnya', 'malah', 'lancar']","['aplikasi', 'diperbarui', 'mempersulit', 'bayar', 'pakai', 'wallet', 'gagal', 'mending', 'dikembalikan', 'kesebelumnya', 'lancar']","['aplikasi', 'baru', 'sulit', 'bayar', 'pakai', 'wallet', 'gagal', 'mending', 'kembali', 'belum', 'lancar']"
259,saya suka kereta,saya suka kereta,saya suka kereta,"['saya', 'suka', 'kereta']","['suka', 'kereta']","['suka', 'kereta']"
434,makin di upgrade makin lambat gabisa pesen tiket ini gimana aku pulangnya ya allah,makin di meningkatkan makin lambat enggak bisa pesan tiket ini bagaimana aku pulangnya ya Allah,makin di meningkatkan makin lambat enggak bisa pesan tiket ini bagaimana aku pulangnya ya allah,"['makin', 'di', 'meningkatkan', 'makin', 'lambat', 'enggak', 'bisa', 'pesan', 'tiket', 'ini', 'bagaimana', 'aku', 'pulangnya', 'ya', 'allah']","['meningkatkan', 'lambat', 'pesan', 'tiket', 'pulangnya', 'ya', 'allah']","['tingkat', 'lambat', 'pesan', 'tiket', 'pulang', 'ya', 'allah']"
6,fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun untuk memilih tempat duduk lama sekali pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out akhirnya jadi ngga dapat tiket padahal ini untuk perjalanan mendadak beda jauh dengan waktu aplikasi yang lama sat set bisa cepat ngga loading terus,fitur lebih banyak dan tampilan lebih bagus tetapi sayang lambat minta ampun untuk memilih tempat duduk lama sekali pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out akhirnya jadi enggak dapat tiket padahal ini untuk perjalanan mendadak beda jauh dengan waktu aplikasi yang lama saat set bisa cepat enggak memuat terus,fitur lebih banyak dan tampilan lebih bagus tetapi sayang lambat minta ampun untuk memilih tempat duduk lama sekali pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out akhirnya jadi enggak dapat tiket padahal ini untuk perjalanan mendadak beda jauh dengan waktu aplikasi yang lama saat set bisa cepat enggak memuat terus,"['fitur', 'lebih', 'banyak', 'dan', 'tampilan', 'lebih', 'bagus', 'tetapi', 'sayang', 'lambat', 'minta', 'ampun', 'untuk', 'memilih', 'tempat', 'duduk', 'lama', 'sekali', 'pembayaran', 'tinggal', 'menunggu', 'kode', 'pembayaran', 'lama', 'dan', 'akhirnya', 'time', 'out', 'akhirnya', 'jadi', 'enggak', 'dapat', 'tiket', 'padahal', 'ini', 'untuk', 'perjalanan', 'mendadak', 'beda', 'jauh', 'dengan', 'waktu', 'aplikasi', 'yang', 'lama', 'saat', 'set', 'bisa', 'cepat', 'enggak', 'memuat', 'terus']","['fitur', 'tampilan', 'bagus', 'sayang', 'lambat', 'ampun', 'memilih', 'duduk', 'pembayaran', 'tinggal', 'menunggu', 'kode', 'pembayaran', 'time', 'out', 'tiket', 'perjalanan', 'mendadak', 'beda', 'aplikasi', 'set', 'cepat', 'memuat']","['fitur', 'tampil', 'bagus', 'sayang', 'lambat', 'ampun', 'pilih', 'duduk', 'bayar', 'tinggal', 'tunggu', 'kode', 'bayar', 'time', 'out', 'tiket', 'jalan', 'dadak', 'beda', 'aplikasi', 'set', 'cepat', 'muat']"
