,kalimat,kalimat_norm,kalimat_cf,kalimat_token,kalimat_stopwords,kalimat_stemmed
693,lemot,lemot,lemot,['lemot'],['lemot'],['lot']
361,beberapa hari terakhir jadi lambat banget proses pembayaran sama cek tiketnya bisa sampai makan waktu sampe menit cuman utk beli tiket sama menit cmn buat buka tiket untung saya masih ke kejar keretanya,beberapa hari terakhir jadi lambat banget proses pembayaran sama cek tiketnya bisa sampai makan waktu sampai menit cuma untuk beli tiket sama menit cuma buat buka tiket untung saya masih ke kejar keretanya,beberapa hari terakhir jadi lambat banget proses pembayaran sama cek tiketnya bisa sampai makan waktu sampai menit cuma untuk beli tiket sama menit cuma buat buka tiket untung saya masih ke kejar keretanya,"['beberapa', 'hari', 'terakhir', 'jadi', 'lambat', 'banget', 'proses', 'pembayaran', 'sama', 'cek', 'tiketnya', 'bisa', 'sampai', 'makan', 'waktu', 'sampai', 'menit', 'cuma', 'untuk', 'beli', 'tiket', 'sama', 'menit', 'cuma', 'buat', 'buka', 'tiket', 'untung', 'saya', 'masih', 'ke', 'kejar', 'keretanya']","['lambat', 'banget', 'proses', 'pembayaran', 'cek', 'tiketnya', 'makan', 'menit', 'beli', 'tiket', 'menit', 'buka', 'tiket', 'untung', 'kejar', 'keretanya']","['lambat', 'banget', 'proses', 'bayar', 'cek', 'tiket', 'makan', 'menit', 'beli', 'tiket', 'menit', 'buka', 'tiket', 'untung', 'kejar', 'kereta']"
86,aplikasi nya sangat lemot saya batal terus saat mau bayar karna loading nya lama sampai waktu limit pembayaran nya habis,aplikasinya sangat lambat saya batal terus saat mau bayar karena memuatnya lama sampai waktu limit pembayarannya habis,aplikasinya sangat lambat saya batal terus saat mau bayar karena memuatnya lama sampai waktu limit pembayarannya habis,"['aplikasinya', 'sangat', 'lambat', 'saya', 'batal', 'terus', 'saat', 'mau', 'bayar', 'karena', 'memuatnya', 'lama', 'sampai', 'waktu', 'limit', 'pembayarannya', 'habis']","['aplikasinya', 'lambat', 'batal', 'bayar', 'memuatnya', 'limit', 'pembayarannya', 'habis']","['aplikasi', 'lambat', 'batal', 'bayar', 'muat', 'limit', 'bayar', 'habis']"
473,kenapa setelah di upgrade malah jadi lemot ya saya kira jaringan nya ternyata aplikasi nya buka jadwal pembayaran malah jadi lama banget kebayang kalo lagi buru buru udah gak akan kekejar ini yang sebelum nya malah lebih cepet,kenapa setelah ditingkatkan malah jadi lambat ya saya kira jaringannya ternyata aplikasinya buka jadwal pembayaran malah jadi lama banget terbayang kalau lagi buru-buru sudah enggak akan kekejar ini yang sebelumnya malah lebih cepat,kenapa setelah ditingkatkan malah jadi lambat ya saya kira jaringannya ternyata aplikasinya buka jadwal pembayaran malah jadi lama banget terbayang kalau lagi buru-buru sudah enggak akan kekejar ini yang sebelumnya malah lebih cepat,"['kenapa', 'setelah', 'ditingkatkan', 'malah', 'jadi', 'lambat', 'ya', 'saya', 'kira', 'jaringannya', 'ternyata', 'aplikasinya', 'buka', 'jadwal', 'pembayaran', 'malah', 'jadi', 'lama', 'banget', 'terbayang', 'kalau', 'lagi', 'buru-buru', 'sudah', 'enggak', 'akan', 'kekejar', 'ini', 'yang', 'sebelumnya', 'malah', 'lebih', 'cepat']","['ditingkatkan', 'lambat', 'ya', 'jaringannya', 'aplikasinya', 'buka', 'jadwal', 'pembayaran', 'banget', 'terbayang', 'buru-buru', 'kekejar', 'cepat']","['tingkat', 'lambat', 'ya', 'jaring', 'aplikasi', 'buka', 'jadwal', 'bayar', 'banget', 'bayang', 'buru', 'kejar', 'cepat']"
422,ini aplikasi kenapa ya diupdate tapi malah gk bisa dipake,ini aplikasi kenapa ya diperbarui tetapi malah enggak bisa dipakai,ini aplikasi kenapa ya diperbarui tetapi malah enggak bisa dipakai,"['ini', 'aplikasi', 'kenapa', 'ya', 'diperbarui', 'tetapi', 'malah', 'enggak', 'bisa', 'dipakai']","['aplikasi', 'ya', 'diperbarui', 'dipakai']","['aplikasi', 'ya', 'baru', 'pakai']"
388,aneh gak bisa dibuka setelah update udh banyak penurunan ga bisa dibuka lagi ntah ala guna updatenya,aneh enggak bisa dibuka setelah memperbarui sudah banyak penurunan enggak bisa dibuka lagi entah ala guna pembaruannya,aneh enggak bisa dibuka setelah memperbarui sudah banyak penurunan enggak bisa dibuka lagi entah ala guna pembaruannya,"['aneh', 'enggak', 'bisa', 'dibuka', 'setelah', 'memperbarui', 'sudah', 'banyak', 'penurunan', 'enggak', 'bisa', 'dibuka', 'lagi', 'entah', 'ala', 'guna', 'pembaruannya']","['aneh', 'dibuka', 'memperbarui', 'penurunan', 'dibuka', 'ala', 'pembaruannya']","['aneh', 'buka', 'baru', 'turun', 'buka', 'ala', 'baru']"
41,hah ini apa malah jadi gabisa dibuka samsek daritadi buka cuma muncul logone tok ga berfungsi samsek,ha ini apa malah jadi enggak bisa dibuka sama sekali dari tadi buka cuma muncul logone tok enggak berfungsi sama sekali,ha ini apa malah jadi enggak bisa dibuka sama sekali dari tadi buka cuma muncul logone tok enggak berfungsi sama sekali,"['ha', 'ini', 'apa', 'malah', 'jadi', 'enggak', 'bisa', 'dibuka', 'sama', 'sekali', 'dari', 'tadi', 'buka', 'cuma', 'muncul', 'logone', 'tok', 'enggak', 'berfungsi', 'sama', 'sekali']","['ha', 'dibuka', 'buka', 'muncul', 'logone', 'tok', 'berfungsi']","['ha', 'buka', 'buka', 'muncul', 'logone', 'tok', 'fungsi']"
108,mau login ga bisa lemot cuma muter aja,mau masuk enggak bisa lambat cuma berputar saja,mau masuk enggak bisa lambat cuma berputar saja,"['mau', 'masuk', 'enggak', 'bisa', 'lambat', 'cuma', 'berputar', 'saja']","['masuk', 'lambat', 'berputar']","['masuk', 'lambat', 'putar']"
465,mantaap,mantap,mantap,['mantap'],['mantap'],['mantap']
56,gak bisa log in koneksi timeout terus,enggak bisa masuk koneksi timeout terus,enggak bisa masuk koneksi timeout terus,"['enggak', 'bisa', 'masuk', 'koneksi', 'timeout', 'terus']","['masuk', 'koneksi', 'timeout']","['masuk', 'koneksi', 'timeout']"
479,kesulitan untuk pembayaran via qris padahal aplikasi sebelum di update aman tanpa kendala error,kesulitan untuk pembayaran via qris padahal aplikasi sebelum diperbarui aman tanpa kendala eror,kesulitan untuk pembayaran via qris padahal aplikasi sebelum diperbarui aman tanpa kendala eror,"['kesulitan', 'untuk', 'pembayaran', 'via', 'qris', 'padahal', 'aplikasi', 'sebelum', 'diperbarui', 'aman', 'tanpa', 'kendala', 'eror']","['kesulitan', 'pembayaran', 'via', 'qris', 'aplikasi', 'diperbarui', 'aman', 'kendala', 'eror']","['sulit', 'bayar', 'via', 'qris', 'aplikasi', 'baru', 'aman', 'kendala', 'eror']"
513,setelah upgrade bukannya malah baik pelayanannya malah gak bisa bayar karena tertera waktu habis balik aplikasi lama saja lebih baik daripada yang baru tolong diperhatikan terimakasih,setelah meningkatkan bukannya malah baik pelayanannya malah enggak bisa bayar karena tertera waktu habis balik aplikasi lama saja lebih baik daripada yang baru tolong diperhatikan terima kasih,setelah meningkatkan bukannya malah baik pelayanannya malah enggak bisa bayar karena tertera waktu habis balik aplikasi lama saja lebih baik daripada yang baru tolong diperhatikan terima kasih,"['setelah', 'meningkatkan', 'bukannya', 'malah', 'baik', 'pelayanannya', 'malah', 'enggak', 'bisa', 'bayar', 'karena', 'tertera', 'waktu', 'habis', 'balik', 'aplikasi', 'lama', 'saja', 'lebih', 'baik', 'daripada', 'yang', 'baru', 'tolong', 'diperhatikan', 'terima', 'kasih']","['meningkatkan', 'pelayanannya', 'bayar', 'tertera', 'habis', 'aplikasi', 'tolong', 'diperhatikan', 'terima', 'kasih']","['tingkat', 'layan', 'bayar', 'tera', 'habis', 'aplikasi', 'tolong', 'perhati', 'terima', 'kasih']"
24,fitur reduksi harga dihilangkan aplikasi juga sangat lemot ciri khas bumn bgt,fitur reduksi harga dihilangkan aplikasi juga sangat lambat ciri khas bumn banget,fitur reduksi harga dihilangkan aplikasi juga sangat lambat ciri khas bumn banget,"['fitur', 'reduksi', 'harga', 'dihilangkan', 'aplikasi', 'juga', 'sangat', 'lambat', 'ciri', 'khas', 'bumn', 'banget']","['fitur', 'reduksi', 'harga', 'dihilangkan', 'aplikasi', 'lambat', 'ciri', 'khas', 'bumn', 'banget']","['fitur', 'reduksi', 'harga', 'hilang', 'aplikasi', 'lambat', 'ciri', 'khas', 'bumn', 'banget']"
218,setelah update malah lemot susah melakukan pemesanan tolong diperbaiki,setelah memperbarui malah lambat susah melakukan pemesanan tolong diperbaiki,setelah memperbarui malah lambat susah melakukan pemesanan tolong diperbaiki,"['setelah', 'memperbarui', 'malah', 'lambat', 'susah', 'melakukan', 'pemesanan', 'tolong', 'diperbaiki']","['memperbarui', 'lambat', 'susah', 'pemesanan', 'tolong', 'diperbaiki']","['baru', 'lambat', 'susah', 'mesan', 'tolong', 'baik']"
430,luemottt bettt,luemot banget,luemot banget,"['luemot', 'banget']","['luemot', 'banget']","['luemot', 'banget']"
281,tampilan ui jelek padahal lebih simpel dan elegan yg dulu,tampilan lu jelek padahal lebih simpel dan elegan yang dahulu,tampilan lu jelek padahal lebih simpel dan elegan yang dahulu,"['tampilan', 'lu', 'jelek', 'padahal', 'lebih', 'simpel', 'dan', 'elegan', 'yang', 'dahulu']","['tampilan', 'lu', 'jelek', 'simpel', 'elegan']","['tampil', 'lu', 'jelek', 'simpel', 'elegan']"
110,tetap update mudah digunakan berikan kami pelayanan yang terbaik,tetap memperbarui mudah digunakan berikan kami pelayanan yang terbaik,tetap memperbarui mudah digunakan berikan kami pelayanan yang terbaik,"['tetap', 'memperbarui', 'mudah', 'digunakan', 'berikan', 'kami', 'pelayanan', 'yang', 'terbaik']","['memperbarui', 'mudah', 'pelayanan', 'terbaik']","['baru', 'mudah', 'layan', 'baik']"
