,kalimat,kalimat_token
562,tampilan interface tidak ramah setelah update ngga suka bgtt bikin mata sakit tapi menarik untung makin lancar pesen tiket nya mudah bayarnya juga bisa pake ovo soalnya saya user ovo bangwt,"['tampilan', 'interface', 'tidak', 'ramah', 'setelah', 'update', 'ngga', 'suka', 'bgtt', 'bikin', 'mata', 'sakit', 'tapi', 'menarik', 'untung', 'makin', 'lancar', 'pesen', 'tiket', 'nya', 'mudah', 'bayarnya', 'juga', 'bisa', 'pake', 'ovo', 'soalnya', 'saya', 'user', 'ovo', 'bangwt']"
189,setelah update gak ada masalah login aman cek fitur lain aman aplikasi nya lebih smooth padahal hpku kentang lho,"['setelah', 'update', 'gak', 'ada', 'masalah', 'login', 'aman', 'cek', 'fitur', 'lain', 'aman', 'aplikasi', 'nya', 'lebih', 'smooth', 'padahal', 'hpku', 'kentang', 'lho']"
475,udahh lancar banget buat beli dan cari tiket malah tambah enak dipandaang ux terbaru nya,"['udahh', 'lancar', 'banget', 'buat', 'beli', 'dan', 'cari', 'tiket', 'malah', 'tambah', 'enak', 'dipandaang', 'ux', 'terbaru', 'nya']"
510,update otomatis biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia,"['update', 'otomatis', 'biasa', 'nya', 'tiket', 'kereta', 'yang', 'sudah', 'habis', 'ga', 'ditampilin', 'ini', 'yang', 'sudah', 'habis', 'ditampilin', 'kirain', 'masih', 'tersedia']"
58,saya beli tiket tapi koo bayarnya dobel saya isi saldo kai pay rb harga tiket kereta api lokal saya beli tiket untuk orng saja kok tiba saldo saya tinggal kok pembayaran bisa dobel begituu tolonggg pihak kai kejelasaannya,"['saya', 'beli', 'tiket', 'tapi', 'koo', 'bayarnya', 'dobel', 'saya', 'isi', 'saldo', 'kai', 'pay', 'rb', 'harga', 'tiket', 'kereta', 'api', 'lokal', 'saya', 'beli', 'tiket', 'untuk', 'orng', 'saja', 'kok', 'tiba', 'saldo', 'saya', 'tinggal', 'kok', 'pembayaran', 'bisa', 'dobel', 'begituu', 'tolonggg', 'pihak', 'kai', 'kejelasaannya']"
474,aplikasi terupdate otomatis tampilannya skrg tambah ribet dan bikin bingung lebih simpel tampilan yg lama seharusnya klo memang ada update lebih mempermudah ini malah sebaliknya,"['aplikasi', 'terupdate', 'otomatis', 'tampilannya', 'skrg', 'tambah', 'ribet', 'dan', 'bikin', 'bingung', 'lebih', 'simpel', 'tampilan', 'yg', 'lama', 'seharusnya', 'klo', 'memang', 'ada', 'update', 'lebih', 'mempermudah', 'ini', 'malah', 'sebaliknya']"
560,sebelumnya saya sudah beli tiket pake aplikasi lama trus saya cek di aplikasi tiket saya ilang tuh pertanggungjawabannya gimana,"['sebelumnya', 'saya', 'sudah', 'beli', 'tiket', 'pake', 'aplikasi', 'lama', 'trus', 'saya', 'cek', 'di', 'aplikasi', 'tiket', 'saya', 'ilang', 'tuh', 'pertanggungjawabannya', 'gimana']"
252,error daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus,"['error', 'daftar', 'pesanan', 'kosong', 'upgrade', 'gagal', 'terus', 'numbid', 'ready', 'harga', 'promo', 'gak', 'bisa', 'di', 'pesan', 'diupgrade', 'begitu', 'terus']"
21,tampilan baru bukan lebih mempermudah tapi lebih mempersulit kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access,"['tampilan', 'baru', 'bukan', 'lebih', 'mempermudah', 'tapi', 'lebih', 'mempersulit', 'kasian', 'kalo', 'orang', 'awam', 'untuk', 'melakukan', 'pemesanan', 'lewat', 'apk', 'kai', 'access']"
313,saya pelanggan setia kai merasa paus dengan versi terbaruny memudahkan dlm segala hal pesan tiket mudah cek tiket kereta mudah bayrnya mudah fitur tambahan yng juga berguna bagi saya salutnya dg tambahan fitur yg banyak tpai masih lancar terus ga lemot lemot,"['saya', 'pelanggan', 'setia', 'kai', 'merasa', 'paus', 'dengan', 'versi', 'terbaruny', 'memudahkan', 'dlm', 'segala', 'hal', 'pesan', 'tiket', 'mudah', 'cek', 'tiket', 'kereta', 'mudah', 'bayrnya', 'mudah', 'fitur', 'tambahan', 'yng', 'juga', 'berguna', 'bagi', 'saya', 'salutnya', 'dg', 'tambahan', 'fitur', 'yg', 'banyak', 'tpai', 'masih', 'lancar', 'terus', 'ga', 'lemot', 'lemot']"
