,kalimat
92,"makin di meningkatkan makin lancar pesan tiket juga makin mudah, tetapilannya juga lebih mordern suka banget lebih segar"
591,"aplikasi menjadi lebih lancar sesudah diperbarui, semuanya lancar dan cepat, mudah masuk, mudah memesan, yang dahulu lambat berputar terus saya pernah menunggu hampir 1 jam bula balik masih saja lemot, untung sekarang sudah diperbarui lebih memudahkan pesanan tiket daring"
68,"diperbarui malah lancar banget yang dahulu rada ""lemot soalnya, buat pesan tiket & bayarnya lebih mudah sekarang"
15,"alamdulillah setelah memperbarui akses menjadi lebih lancar, tidak seperti pada aplikasi sebelumnya lemot. saat memilih kursi timeout tidak perlu menunggu waktu lama & membuang waktu"
395,tampilan oke pemesanan cepat langsung dapat
234,makin susah enggak bisa dipesan enggak bisa diklik. masih bagus yang versi lamady ~
88,"ini setelah diperbarui kenapa aplikasinya jadi lambat banget admin, bahkan keluar sendiri, pas mau masuk jadi enggak bisa masuk keterangannya ""failed request"" padahal udah biasa dahulu pakai kai acces, tolong dong kalau memang harus pakai aplikasi, aplikasinya ya dibikin simpel dan mudah aksesnya jangan jadi malah susah begini."
516,"setelah ditingkatkan jadi susah pesan tiketnya, sering pesan dengan metode pembayaran tautan saja, padahal di telepon seluler sudah terpasang aplikasinya tetapi disuruh unduh"
117,"tampilan interface tidak ramah setelah pembaruan enggak suka banget bikin mata sakit, tetapi menarik, untung makin lancar pesan tiketnya mudah bayarnya juga bisa pakai ovo, soalnya saya pengguna ovo banget"
405,fiturnya banyak. sepaket lambat juga minta ampun.
430,"mudah, lancar pembayarannya. yang tidak punya atm, bisa melalui indomaret, alfamart. mantap"
33,"aplikasinya perbaruan sendiri, tetapi setelah terbaru tidak bisa lagi melihat jadwal kereta."
0,semenjak aplikasinya perbarui jadi makin lambat aduh
609,"saya pelanggan setia kali merasa paus dengan versi terbarunya memudahkan dalam segala hal pesan tiket mudah, cek tiket kereta mudah, bayarnya mudah, fitur tambahan yang juga berguna bagi saya. salutnya dengan tambahan fitur yang banyak tapi masih lancar terus enggak lambat lambat"
192,"coba dihilangkan saja fitur yang enggak mengerti sama kai kayak beli paket data, pulsa dan token listrik biar aplikasi ini makin efisien dan mengurangi beban peladen juga sehingga enggak kelebihan ketika lagi banyak yang mengakses atau war tiket."
365,terima kasih tampilan baru lebih intuitif
603,"cari tiketnya jadi sedikit menyusahkan, harus lemah dahulu, kurang jelas tiket mana yang tersedia sekali, jelas tampilan di versi sebelumnya. dan jadi tidak bisa menyesal tiket yang tersedia sedih menurut harga, dsb.. yang tersorting hanya judul besar tiket. sarannya mungkin dikembalikan saja tampilan tiketnya seperti versi sebelumnya, menurut saya itu sudah sangat jelas"
441,"untuk memperbarui aplikasinya lancar banget, tetapi lebih enak dilihat yang dahulu tampilan menu aplikasinya"
424,eror 'daftar pesanan kosong ditingkatkan gagal terus tumbid siap harga promo enggak bisa dipesan ditingkatkan begitu terus
22,"lemot banget banget, setiap mau buka memuatnya lama padahal jaringan sudah bangus terus aplikasinya harus ditingkatkan. setiap mau buka harus masukkan otp-nya entah lewat surel / sms, padahal sebelumnya pernah kasih otp,"
468,"tampilan baru dikira aplikasi tambah bagus eh ternyata makin jelek, enggak bisa masuk lagi katanya idnum already exist, kalau kayak begini bagaimana mau pesan tiketnya lagi? jadi enggak guna aplikasinya"
116,sejak diperbarui makin garibet. pesan tiket jadi saat set. enggak lambat. lebih mudah beli tiket di aplikasi sekarang. ha. lebih baik daripada sebelumnya. terima kasih
