,kalimat,kalimat_token
30,woi admin balikin ke aplikasi lama lah lemot banget aplikasi update baru setelah update malah makin tdk user friendly filter hanya ada pilihan dulu bisa by waktu harga dan kelas pilih kursi juga hrs scroll atas bawah dulu layar tampak semua hadeuh bukannya makin maju,"['woi', 'admin', 'balikin', 'ke', 'aplikasi', 'lama', 'lah', 'lemot', 'banget', 'aplikasi', 'update', 'baru', 'setelah', 'update', 'malah', 'makin', 'tdk', 'user', 'friendly', 'filter', 'hanya', 'ada', 'pilihan', 'dulu', 'bisa', 'by', 'waktu', 'harga', 'dan', 'kelas', 'pilih', 'kursi', 'juga', 'hrs', 'scroll', 'atas', 'bawah', 'dulu', 'layar', 'tampak', 'semua', 'hadeuh', 'bukannya', 'makin', 'maju']"
571,dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta kajj versi baru pendingnya lumayan lama,"['dari', 'segi', 'tampilan', 'udah', 'oke', 'tapi', 'udah', 'nyaman', 'sama', 'versi', 'lama', 'dan', 'lebih', 'satset', 'tiap', 'pembelian', 'kerta', 'kajj', 'versi', 'baru', 'pendingnya', 'lumayan', 'lama']"
82,woi admin balikin ke aplikasi lama lah lemot banget aplikasi update baru setelah update malah makin tdk user friendly filter hanya ada pilihan dulu bisa by waktu harga dan kelas pilih kursi juga hrs scroll atas bawah dulu layar tampak semua hadeuh bukannya makin maju,"['woi', 'admin', 'balikin', 'ke', 'aplikasi', 'lama', 'lah', 'lemot', 'banget', 'aplikasi', 'update', 'baru', 'setelah', 'update', 'malah', 'makin', 'tdk', 'user', 'friendly', 'filter', 'hanya', 'ada', 'pilihan', 'dulu', 'bisa', 'by', 'waktu', 'harga', 'dan', 'kelas', 'pilih', 'kursi', 'juga', 'hrs', 'scroll', 'atas', 'bawah', 'dulu', 'layar', 'tampak', 'semua', 'hadeuh', 'bukannya', 'makin', 'maju']"
612,fitur menjadi lengkap namun sangat sulit untuk mengoprasikan fitur jadi tambah ribet gak efisien masih enak apk sebelum update gak ada fitur filter nama kereta tampilan jadi buruk banget lemot banget jadi gak fokus apk khusus kai,"['fitur', 'menjadi', 'lengkap', 'namun', 'sangat', 'sulit', 'untuk', 'mengoprasikan', 'fitur', 'jadi', 'tambah', 'ribet', 'gak', 'efisien', 'masih', 'enak', 'apk', 'sebelum', 'update', 'gak', 'ada', 'fitur', 'filter', 'nama', 'kereta', 'tampilan', 'jadi', 'buruk', 'banget', 'lemot', 'banget', 'jadi', 'gak', 'fokus', 'apk', 'khusus', 'kai']"
528,fiturnya lebih ribet membingungkan lebih simpel aplikasi sebelumnya,"['fiturnya', 'lebih', 'ribet', 'membingungkan', 'lebih', 'simpel', 'aplikasi', 'sebelumnya']"
580,izin menyampaikan kendala saat saya melakukan pendaftaran member tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu,"['izin', 'menyampaikan', 'kendala', 'saat', 'saya', 'melakukan', 'pendaftaran', 'member', 'tepat', 'nya', 'setelah', 'mendapatkan', 'kode', 'saya', 'menekan', 'tombol', 'lanjutkan', 'tapi', 'malah', 'gak', 'bisa', 'saya', 'pikir', 'masalah', 'sinyal', 'tapi', 'tetap', 'gak', 'bisa', 'alhasil', 'saya', 'susah', 'buat', 'beli', 'tiket', 'dikarenakan', 'harua', 'daftar', 'member', 'terlebih', 'dahulu']"
469,fitur kai pay ada scan qr tapi tidak berfungsi apa apa tidak bisa untuk pembayaran scan qr saya yang salah atau aplikasinya yang salah ya padahal ads saldo lumayan disitu sisa dari pembelian tiket,"['fitur', 'kai', 'pay', 'ada', 'scan', 'qr', 'tapi', 'tidak', 'berfungsi', 'apa', 'apa', 'tidak', 'bisa', 'untuk', 'pembayaran', 'scan', 'qr', 'saya', 'yang', 'salah', 'atau', 'aplikasinya', 'yang', 'salah', 'ya', 'padahal', 'ads', 'saldo', 'lumayan', 'disitu', 'sisa', 'dari', 'pembelian', 'tiket']"
199,di update bukannya makin bagus malah makin buruk tidak se simpel praktis dulu banyak iklan,"['di', 'update', 'bukannya', 'makin', 'bagus', 'malah', 'makin', 'buruk', 'tidak', 'se', 'simpel', 'praktis', 'dulu', 'banyak', 'iklan']"
56,iya sih makin lancar tapi aplikasi yang baru tidak efektif dalam pemilihan kursi tampilan kursi mending di aplikasi yang lama lebih efektif dan efisien,"['iya', 'sih', 'makin', 'lancar', 'tapi', 'aplikasi', 'yang', 'baru', 'tidak', 'efektif', 'dalam', 'pemilihan', 'kursi', 'tampilan', 'kursi', 'mending', 'di', 'aplikasi', 'yang', 'lama', 'lebih', 'efektif', 'dan', 'efisien']"
335,otomatis terupdate versi baru memudahkan lebih lancar mau pesan tiket jadi mudah kearena saya pp kerja naik commuter,"['otomatis', 'terupdate', 'versi', 'baru', 'memudahkan', 'lebih', 'lancar', 'mau', 'pesan', 'tiket', 'jadi', 'mudah', 'kearena', 'saya', 'pp', 'kerja', 'naik', 'commuter']"
439,pecat ui ux designernya sumpah ui bagus tapi ux jelek ui ux designernyagausah ngide dah modal bagusin tampilan tapi user journey ga diperhatiin makin ribet belajar lagi ui ux nya ,"['pecat', 'ui', 'ux', 'designernya', 'sumpah', 'ui', 'bagus', 'tapi', 'ux', 'jelek', 'ui', 'ux', 'designernyagausah', 'ngide', 'dah', 'modal', 'bagusin', 'tampilan', 'tapi', 'user', 'journey', 'ga', 'diperhatiin', 'makin', 'ribet', 'belajar', 'lagi', 'ui', 'ux', 'nya']"
292,lemooooooooooooottttttt bangettttttttt setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade setiap mau buka harus masukin otp nya entah lewat email sms padahal sebelum nya pernah kasih otp,"['lemooooooooooooottttttt', 'bangettttttttt', 'setiap', 'mau', 'buka', 'loadingnya', 'lama', 'padahal', 'jaringan', 'sudah', 'bangus', 'terus', 'aplikasinya', 'harus', 'upgrade', 'setiap', 'mau', 'buka', 'harus', 'masukin', 'otp', 'nya', 'entah', 'lewat', 'email', 'sms', 'padahal', 'sebelum', 'nya', 'pernah', 'kasih', 'otp']"
611,coba dihilangkan aja fitur yang nggak relate sama kai kayak beli paket data pulsa dan token listrik biar aplikasi ini semakin efisien dan mengurangi beban server juga sehingga nggak overload ketika lagi banyak yang ngakses atau war tiket,"['coba', 'dihilangkan', 'aja', 'fitur', 'yang', 'nggak', 'relate', 'sama', 'kai', 'kayak', 'beli', 'paket', 'data', 'pulsa', 'dan', 'token', 'listrik', 'biar', 'aplikasi', 'ini', 'semakin', 'efisien', 'dan', 'mengurangi', 'beban', 'server', 'juga', 'sehingga', 'nggak', 'overload', 'ketika', 'lagi', 'banyak', 'yang', 'ngakses', 'atau', 'war', 'tiket']"
24,solusi pembelian tiket kereta api yang mudah,"['solusi', 'pembelian', 'tiket', 'kereta', 'api', 'yang', 'mudah']"
77,lemot bgtttt si abis upgrade tp kualitas malah downgrade bolak balik pemesanan tinggal bayar aja lemotnya maasyaaallah mau apasi,"['lemot', 'bgtttt', 'si', 'abis', 'upgrade', 'tp', 'kualitas', 'malah', 'downgrade', 'bolak', 'balik', 'pemesanan', 'tinggal', 'bayar', 'aja', 'lemotnya', 'maasyaaallah', 'mau', 'apasi']"
488,semenjak update aplikasi udah ngak lemot tapi tampilan membingungkan kereta yang penuh masih muncul untungnya pesen tiket sama bayar nya aman dan gampang bgt,"['semenjak', 'update', 'aplikasi', 'udah', 'ngak', 'lemot', 'tapi', 'tampilan', 'membingungkan', 'kereta', 'yang', 'penuh', 'masih', 'muncul', 'untungnya', 'pesen', 'tiket', 'sama', 'bayar', 'nya', 'aman', 'dan', 'gampang', 'bgt']"
260,update nya bagus bagus bgt apalagi tampulannya jadi lebih baru,"['update', 'nya', 'bagus', 'bagus', 'bgt', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
588,kalo segalanya mau online harusnya aplikasinya disiapin dulu sampe mateng jauh dari bug lemot ini aplikasinya aja belum optimal banyak bug susah masuk lemot ko udah maen harus beli online aja kasian orang yang mau naik kereta dibikin ribet engga jelas bumn kerjanya ko gini,"['kalo', 'segalanya', 'mau', 'online', 'harusnya', 'aplikasinya', 'disiapin', 'dulu', 'sampe', 'mateng', 'jauh', 'dari', 'bug', 'lemot', 'ini', 'aplikasinya', 'aja', 'belum', 'optimal', 'banyak', 'bug', 'susah', 'masuk', 'lemot', 'ko', 'udah', 'maen', 'harus', 'beli', 'online', 'aja', 'kasian', 'orang', 'yang', 'mau', 'naik', 'kereta', 'dibikin', 'ribet', 'engga', 'jelas', 'bumn', 'kerjanya', 'ko', 'gini']"
464,lemot udah bayar tiket tapi ga muncul,"['lemot', 'udah', 'bayar', 'tiket', 'tapi', 'ga', 'muncul']"
70,untuk proses pemesanan tiket lokal cepat banget utk pembayaran ovo juga mudah,"['untuk', 'proses', 'pemesanan', 'tiket', 'lokal', 'cepat', 'banget', 'utk', 'pembayaran', 'ovo', 'juga', 'mudah']"
497,aplikasi ini keren jadi lebih mudah deh pesan tiket untuk bepergian semangat sahabat kai,"['aplikasi', 'ini', 'keren', 'jadi', 'lebih', 'mudah', 'deh', 'pesan', 'tiket', 'untuk', 'bepergian', 'semangat', 'sahabat', 'kai']"
140,izin menyampaikan kendala saat saya melakukan pendaftaran member tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu,"['izin', 'menyampaikan', 'kendala', 'saat', 'saya', 'melakukan', 'pendaftaran', 'member', 'tepat', 'nya', 'setelah', 'mendapatkan', 'kode', 'saya', 'menekan', 'tombol', 'lanjutkan', 'tapi', 'malah', 'gak', 'bisa', 'saya', 'pikir', 'masalah', 'sinyal', 'tapi', 'tetap', 'gak', 'bisa', 'alhasil', 'saya', 'susah', 'buat', 'beli', 'tiket', 'dikarenakan', 'harua', 'daftar', 'member', 'terlebih', 'dahulu']"
60,menjadi tidak simple,"['menjadi', 'tidak', 'simple']"
215,terlalu bnyak menu semakin lemot aplikasinya,"['terlalu', 'bnyak', 'menu', 'semakin', 'lemot', 'aplikasinya']"
432,update nya bagus bagus bgt apalagi tampulannya jadi lebih baru,"['update', 'nya', 'bagus', 'bagus', 'bgt', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
426,saran untuk para pengurus di kai ini zaman sudah modern segala hal digital sudah serba cepat ini masa saya batal kan tiket pengembalian dana nya nunggu hari sekalian aja setahun baru tf dana nya,"['saran', 'untuk', 'para', 'pengurus', 'di', 'kai', 'ini', 'zaman', 'sudah', 'modern', 'segala', 'hal', 'digital', 'sudah', 'serba', 'cepat', 'ini', 'masa', 'saya', 'batal', 'kan', 'tiket', 'pengembalian', 'dana', 'nya', 'nunggu', 'hari', 'sekalian', 'aja', 'setahun', 'baru', 'tf', 'dana', 'nya']"
586,semenjak pembaruan sudah tidak ngelag touchscreen responsif lancar suka jg ama fitur tambahnnya jadi app yg lebih multifungsi,"['semenjak', 'pembaruan', 'sudah', 'tidak', 'ngelag', 'touchscreen', 'responsif', 'lancar', 'suka', 'jg', 'ama', 'fitur', 'tambahnnya', 'jadi', 'app', 'yg', 'lebih', 'multifungsi']"
118,fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun untuk memilih tempat duduk lama sekali pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out akhirnya jadi ngga dapat tiket padahal ini untuk perjalanan mendadak beda jauh dengan waktu aplikasi yang lama sat set bisa cepat ngga loading terus,"['fitur', 'lebih', 'banyak', 'dan', 'tampilan', 'lebih', 'bagus', 'tapi', 'sayang', 'lemotnya', 'minta', 'ampun', 'untuk', 'memilih', 'tempat', 'duduk', 'lama', 'sekali', 'pembayaran', 'tinggal', 'menunggu', 'kode', 'pembayaran', 'lama', 'dan', 'akhirnya', 'time', 'out', 'akhirnya', 'jadi', 'ngga', 'dapat', 'tiket', 'padahal', 'ini', 'untuk', 'perjalanan', 'mendadak', 'beda', 'jauh', 'dengan', 'waktu', 'aplikasi', 'yang', 'lama', 'sat', 'set', 'bisa', 'cepat', 'ngga', 'loading', 'terus']"
90,sangat bermanfaat mudah sekali untuk memesan tiket kereta dibanding pake apk tiket online yang lain,"['sangat', 'bermanfaat', 'mudah', 'sekali', 'untuk', 'memesan', 'tiket', 'kereta', 'dibanding', 'pake', 'apk', 'tiket', 'online', 'yang', 'lain']"
423,jadi ga ramah tampilan user interface nya,"['jadi', 'ga', 'ramah', 'tampilan', 'user', 'interface', 'nya']"
29,udah update ui yang baru tapi kualitas makin buruk mau lihat jadwal krl dari jalur rangkas tanah abang aja gak bisa,"['udah', 'update', 'ui', 'yang', 'baru', 'tapi', 'kualitas', 'makin', 'buruk', 'mau', 'lihat', 'jadwal', 'krl', 'dari', 'jalur', 'rangkas', 'tanah', 'abang', 'aja', 'gak', 'bisa']"
328,tampilan ok pemesanan cepat lgsung dapat,"['tampilan', 'ok', 'pemesanan', 'cepat', 'lgsung', 'dapat']"
381,apk nya sekarang sudah tidak sering crash jadi waktu mau memesan tiket selalu lancar tidak kehabisan waktu pembayarannya juga mudah dg menggunaakn qris,"['apk', 'nya', 'sekarang', 'sudah', 'tidak', 'sering', 'crash', 'jadi', 'waktu', 'mau', 'memesan', 'tiket', 'selalu', 'lancar', 'tidak', 'kehabisan', 'waktu', 'pembayarannya', 'juga', 'mudah', 'dg', 'menggunaakn', 'qris']"
380,versi baru memang lebih menarik dengan tanpilan dan fitur baru saya pesen tiket goshow langsung dapet ga ada lagi tuh macet lemot semua lancar aja kalo saya suka dg pembayaran qrisnya lebih simepl,"['versi', 'baru', 'memang', 'lebih', 'menarik', 'dengan', 'tanpilan', 'dan', 'fitur', 'baru', 'saya', 'pesen', 'tiket', 'goshow', 'langsung', 'dapet', 'ga', 'ada', 'lagi', 'tuh', 'macet', 'lemot', 'semua', 'lancar', 'aja', 'kalo', 'saya', 'suka', 'dg', 'pembayaran', 'qrisnya', 'lebih', 'simepl']"
177,di update bukan nya makin bagus malah makin buriq,"['di', 'update', 'bukan', 'nya', 'makin', 'bagus', 'malah', 'makin', 'buriq']"
286,secara user interface lebih baik yang sebelumnya mungkin ya memang lebih terkesan modern atau bagus dipandang namun sedikit saran untuk bagian pemilihan tiket apabila semua tiket pada kategori tersebut habis makan seharusnya otomatis turun atau pindah ke bawah seperti dulu serta harusnya ada perubahan harga dari harga mulai dari menjadi tiket paling murah yang tersedia sehingga lebih memudahkan percarian tiket sesuai kebutuhan,"['secara', 'user', 'interface', 'lebih', 'baik', 'yang', 'sebelumnya', 'mungkin', 'ya', 'memang', 'lebih', 'terkesan', 'modern', 'atau', 'bagus', 'dipandang', 'namun', 'sedikit', 'saran', 'untuk', 'bagian', 'pemilihan', 'tiket', 'apabila', 'semua', 'tiket', 'pada', 'kategori', 'tersebut', 'habis', 'makan', 'seharusnya', 'otomatis', 'turun', 'atau', 'pindah', 'ke', 'bawah', 'seperti', 'dulu', 'serta', 'harusnya', 'ada', 'perubahan', 'harga', 'dari', 'harga', 'mulai', 'dari', 'menjadi', 'tiket', 'paling', 'murah', 'yang', 'tersedia', 'sehingga', 'lebih', 'memudahkan', 'percarian', 'tiket', 'sesuai', 'kebutuhan']"
188,ternyata tidak sepenuhnya memudahkan proses boarding tetap diminta ktp untuk pengecekan apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek ktp aplikasi tidak berguna tambahan tampilan juga bikin ribet kalo mau pilih kereta beda dengan aplikasi sebelumnya jadi menyesal upgrade ke access kai,"['ternyata', 'tidak', 'sepenuhnya', 'memudahkan', 'proses', 'boarding', 'tetap', 'diminta', 'ktp', 'untuk', 'pengecekan', 'apa', 'gunanya', 'kita', 'mengisi', 'data', 'pribadi', 'saat', 'buat', 'akun', 'kalo', 'hanya', 'bikin', 'ribet', 'cek', 'ktp', 'aplikasi', 'tidak', 'berguna', 'tambahan', 'tampilan', 'juga', 'bikin', 'ribet', 'kalo', 'mau', 'pilih', 'kereta', 'beda', 'dengan', 'aplikasi', 'sebelumnya', 'jadi', 'menyesal', 'upgrade', 'ke', 'access', 'kai']"
575,aplikasi update terbaru bagus tp saran baikny harga tiket yg sdh habis terjual taruh paling bawah seperti aplikasi sebelumnya supaya gx bingung klu skrang kirain msh ada tiketny ternyata zonk,"['aplikasi', 'update', 'terbaru', 'bagus', 'tp', 'saran', 'baikny', 'harga', 'tiket', 'yg', 'sdh', 'habis', 'terjual', 'taruh', 'paling', 'bawah', 'seperti', 'aplikasi', 'sebelumnya', 'supaya', 'gx', 'bingung', 'klu', 'skrang', 'kirain', 'msh', 'ada', 'tiketny', 'ternyata', 'zonk']"
244,saran untuk para pengurus di kai ini zaman sudah modern segala hal digital sudah serba cepat ini masa saya batal kan tiket pengembalian dana nya nunggu hari sekalian aja setahun baru tf dana nya,"['saran', 'untuk', 'para', 'pengurus', 'di', 'kai', 'ini', 'zaman', 'sudah', 'modern', 'segala', 'hal', 'digital', 'sudah', 'serba', 'cepat', 'ini', 'masa', 'saya', 'batal', 'kan', 'tiket', 'pengembalian', 'dana', 'nya', 'nunggu', 'hari', 'sekalian', 'aja', 'setahun', 'baru', 'tf', 'dana', 'nya']"
81,aplikasinya kebanyakan fiture jembot kebanyakan kreatif aplikasinya sampe gabisa di pakai,"['aplikasinya', 'kebanyakan', 'fiture', 'jembot', 'kebanyakan', 'kreatif', 'aplikasinya', 'sampe', 'gabisa', 'di', 'pakai']"
318,tampilan barunya malah bikin bingung,"['tampilan', 'barunya', 'malah', 'bikin', 'bingung']"
